投资方所在城市,融资方所在城市,年份,投资企业对数,阵营,rzLng,rzLat
北京,通辽,2015,11,1,121.577319554,43.8189888688
成都,遂宁,2015,15,0,105.470484465,30.6311127344
贵阳,遵义,2015,20,0,107.086352088,28.1676619107
石家庄,邢台,2015,44,0,114.819197893,37.2116829999
北京,邯郸,2015,45,1,114.54555308,36.5509236328
长沙,邵阳,2015,15,0,110.915650898,26.8726168321
北京,郑州,2015,393,1,113.471850802,34.6263627848
长沙,郴州,2015,27,0,113.134839925,25.8116998935
北京,鄂尔多斯,2015,54,1,108.618593771,39.4092533576
武汉,鄂州,2015,34,0,114.805508857,30.44902039
北京,酒泉,2015,22,1,96.2255513305,40.4581809561
北京,重庆,2015,220,1,107.864385258,30.0553736852
杭州,金华,2015,119,0,119.954268808,29.1164535388
兰州,金昌,2015,5,0,102.050096504,38.4269271785
南宁,钦州,2015,18,0,109.024507902,22.1833012192
沈阳,铁岭,2015,11,0,124.172161855,42.6409023987
北京,铜仁,2015,8,1,108.544584764,27.9687206563
北京,铜仁,2015,8,1,108.544584764,27.9687206563
兰州,铜川,2015,3,0,109.175338575,35.2981214087
深圳,铜陵,2015,7,1,117.89438707,30.9448598202
北京,银川,2015,110,1,106.341244948,38.2192835973
北京,锦州,2015,16,1,122.1276071,41.7056938843
上海,镇江,2015,129,1,119.481985492,32.0667749698
北京,长春,2015,143,1,125.766739888,44.3768728237
北京,长沙,2015,272,1,113.152959363,28.2295131059
太原,长治,2015,21,0,112.916015096,36.4761566955
沈阳,阜新,2015,5,0,121.959474454,42.2856981048
合肥,阜阳,2015,37,0,115.701807911,32.9158627496
南宁,防城港,2015,35,0,108.002509665,21.8822387144
广州,阳江,2015,8,0,111.774204951,22.0383015818
太原,阳泉,2015,4,0,113.501902518,38.0619533743
北京,阿拉善盟,2015,7,1,102.484793321,40.4997342418
武汉,随州,2015,11,0,113.424642017,31.829691489
成都,雅安,2015,21,0,102.661567069,29.9136424572
北京,青岛,2015,291,1,120.143935648,36.456032729
营口,鞍山,2015,16,0,123.311254248,40.4244897423
广州,韶关,2015,13,0,113.772863358,24.8175018307
上海,马鞍山,2015,26,1,118.613763467,31.5323778572
北京,驻马店,2015,17,1,114.148797271,32.9243766426
哈尔滨,鸡西,2015,6,0,132.302426461,45.5431717643
郑州,鹤壁,2015,20,0,114.354192817,35.6449079221
哈尔滨,鹤岗,2015,6,0,130.31505392,47.7601194496
北京,鹰潭,2015,47,1,117.10685019,28.2253820103
武汉,黄冈,2015,82,0,115.34896726,30.7182656835
上海,黄山,2015,13,1,118.077165369,29.9060894539
武汉,黄石,2015,41,0,115.022554449,29.9281364887
哈尔滨,黑河,2015,18,0,126.996351701,49.2530986124
哈尔滨,齐齐哈尔,2015,42,0,124.533878694,47.6967626516
厦门,龙岩,2015,8,0,116.739194013,25.2920661556
