source,target,weight
上海,拉萨,0.0013563919972872161
上海,拉萨,0.01017293997965412
上海,拉萨,0.0339097999321804
上海,拉萨,0.034927093930145814
上海,新余,0.0027127839945744322
上海,新余,0.01017293997965412
上海,新余,0.03458799593082401
上海,新余,0.07494065785011868
上海,无锡,0.02611054594777891
上海,无锡,0.07460155985079688
上海,无锡,0.10308579179382842
上海,无锡,0.12410986775178026
上海,日照,0.0006781959986436081
上海,日照,0.0054255679891488644
上海,昆明,0.00169548999660902
上海,昆明,0.004408273991183452
上海,昆明,0.02204136995591726
上海,昆明,0.02305866395388267
上海,昌吉回族自治州,0.002373685995252628
上海,晋中,0.0
上海,晋城,0.0013563919972872161
上海,普洱,0.0
上海,景德镇,0.0006781959986436081
上海,景德镇,0.0006781959986436081
上海,杭州,0.0681586978636826
上海,杭州,0.13970837572058326
上海,杭州,0.2617836554764327
上海,杭州,0.44455747711088506
上海,松原,0.001017293997965412
上海,枣庄,0.0006781959986436081
上海,柳州,0.00033909799932180403
上海,柳州,0.00033909799932180403
上海,株洲,0.0
上海,株洲,0.0006781959986436081
上海,桂林,0.001017293997965412
上海,桂林,0.00169548999660902
上海,榆林,0.00169548999660902
上海,榆林,0.0006781959986436081
上海,武汉,0.020006781959986435
上海,武汉,0.047134621905730756
上海,武汉,0.09562563580874874
上海,武汉,0.09630383180739234
上海,汕头,0.00033909799932180403
上海,江门,0.00033909799932180403
上海,池州,0.0013563919972872161
上海,沈阳,0.014581213970837573
上海,沈阳,0.016615801966768397
上海,沈阳,0.028484231943031537
上海,沈阳,0.026449643947100712
上海,泉州,0.002373685995252628
上海,泉州,0.0013563919972872161
上海,泉州,0.00508646998982706
上海,泉州,0.0054255679891488644
上海,泰安,0.001017293997965412
上海,泰安,0.00033909799932180403
上海,泰州,0.002034587995930824
上海,泰州,0.010512037978975925
上海,泰州,0.02814513394370973
上海,泰州,0.02814513394370973
上海,洛阳,0.00169548999660902
上海,洛阳,0.009155645981688708
上海,洛阳,0.00033909799932180403
上海,济南,0.003730077992539844
上海,济南,0.012885723974228552
上海,济南,0.038996269922007464
上海,济南,0.04170905391658189
上海,济宁,0.0054255679891488644
