投资方所在城市,融资方所在城市,年份,投资企业对数,阵营,rzLng,rzLat
哈尔滨,绥化,2013,9,0,126.616087847,46.890019373
成都,绵阳,2013,12,0,104.705358137,31.8468625936
潍坊,聊城,2013,12,0,115.881984089,36.4580882571
广州,肇庆,2013,8,0,112.202555079,23.5397260823
宁波,舟山,2013,5,0,122.13917249,30.0553941995
合肥,芜湖,2013,75,0,118.326617536,31.0667366723
上海,苏州,2013,227,1,120.64180324,31.3759706021
武汉,荆州,2013,19,0,112.655927602,29.8484798317
武汉,荆门,2013,13,0,112.609230363,31.0710770674
福州,莆田,2013,10,0,118.879674516,25.4571400714
济南,菏泽,2013,5,0,115.689680141,35.1533992642
深圳,萍乡,2013,30,1,113.900285648,27.5155162634
杭州,营口,2013,9,0,122.487313407,40.3597557385
北京,葫芦岛,2013,4,1,120.192864003,40.6261741141
合肥,蚌埠,2013,4,0,117.327663746,33.1119871271
长沙,衡阳,2013,9,0,112.573420211,26.7925301314
杭州,衢州,2013,5,0,118.677516799,28.9340789716
十堰,襄阳,2013,14,0,111.93766036,31.9344507749
北京,西宁,2013,9,1,101.451113542,36.8142937624
北京,西安,2013,45,1,108.789503511,34.1107819802
北京,许昌,2013,6,1,113.709213472,34.0727649921
南宁,贵港,2013,6,0,109.998175606,23.3100315884
北京,贵阳,2013,7,1,106.707306335,26.8429934259
南宁,贺州,2013,4,0,111.360036634,24.3588162268
成都,资阳,2013,4,0,104.953340591,30.1802755486
北京,赣州,2013,14,1,115.270276386,25.7067696556
平顶山,辽阳,2013,4,0,123.411641921,41.1253950951
成都,达州,2013,4,0,107.64272373,31.3639402446
南京,连云港,2013,5,0,119.131887634,34.5329086065
成都,遂宁,2013,11,0,105.470484465,30.6311127344
贵阳,遵义,2013,8,0,107.086352088,28.1676619107
北京,邢台,2013,12,1,114.819197893,37.2116829999
北京,邯郸,2013,20,1,114.54555308,36.5509236328
长沙,邵阳,2013,6,0,110.915650898,26.8726168321
北京,郑州,2013,38,1,113.471850802,34.6263627848
长沙,郴州,2013,11,0,113.134839925,25.8116998935
东莞,鄂尔多斯,2013,4,0,108.618593771,39.4092533576
武汉,鄂州,2013,12,0,114.805508857,30.44902039
北京,重庆,2013,81,1,107.864385258,30.0553736852
杭州,金华,2013,38,0,119.954268808,29.1164535388
南宁,钦州,2013,17,0,109.024507902,22.1833012192
沈阳,铁岭,2013,16,0,124.172161855,42.6409023987
西安,铜川,2013,5,0,109.175338575,35.2981214087
北京,银川,2013,21,1,106.341244948,38.2192835973
丹东,锦州,2013,4,0,122.1276071,41.7056938843
南京,镇江,2013,28,0,119.481985492,32.0667749698
北京,长春,2013,18,1,125.766739888,44.3768728237
北京,长沙,2013,38,1,113.152959363,28.2295131059
沈阳,阜新,2013,8,0,121.959474454,42.2856981048
合肥,阜阳,2013,7,0,115.701807911,32.9158627496
南宁,防城港,2013,11,0,108.002509665,21.8822387144
北京,阳泉,2013,12,1,113.501902518,38.0619533743
北京,陇南,2013,4,1,105.209135288,33.5938826196
北京,青岛,2013,70,1,120.143935648,36.456032729
大连,鞍山,2013,4,0,123.311254248,40.4244897423
合肥,马鞍山,2013,6,0,118.613763467,31.5323778572
郑州,驻马店,2013,8,0,114.148797271,32.9243766426
北京,鹰潭,2013,33,1,117.10685019,28.2253820103
武汉,黄冈,2013,39,0,115.34896726,30.7182656835
武汉,黄石,2013,55,0,115.022554449,29.9281364887
哈尔滨,黑河,2013,5,0,126.996351701,49.2530986124
厦门,龙岩,2013,6,0,116.739194013,25.2920661556
