投资方所在城市,融资方所在城市,年份,投资企业对数,阵营,rzLng,rzLat
合肥,宣城,2014,15,0,118.856128319,30.690931106
合肥,宿州,2014,31,0,117.212164673,33.859664667
北京,宿迁,2014,16,1,118.518044118,33.7845818342
长沙,岳阳,2014,27,0,113.255373328,29.06454046
南宁,崇左,2014,20,0,107.275593841,22.5025039596
成都,巴中,2014,15,0,107.038188833,32.0155969603
呼和浩特,巴彦淖尔,2014,12,0,107.564661657,41.5878397003
北京,常州,2014,76,1,119.679057019,31.6925543935
长沙,常德,2014,21,0,111.523850854,29.2974406323
兰州,平凉,2014,5,0,107.22848716,35.2044904905
郑州,平顶山,2014,18,0,113.014207438,33.7968717013
成都,广元,2014,14,0,105.77965861,32.2606905652
重庆,广安,2014,4,0,106.663515367,30.4249383604
深圳,广州,2014,351,1,113.535309762,23.3572458759
兰州,庆阳,2014,14,0,107.594395318,36.1647995305
北京,廊坊,2014,154,1,116.535844506,39.1117554763
西安,延安,2014,13,0,109.320505828,36.4376585567
郑州,开封,2014,26,0,114.534456752,34.6086381576
北京,张家口,2014,66,1,115.02997891,40.8611481583
长沙,张家界,2014,8,0,110.5299907,29.3920468287
兰州,张掖,2014,11,0,99.90171985,38.9235853398
上海,徐州,2014,22,1,117.480705662,34.2587766939
济南,德州,2014,23,0,116.64541331,37.244336402
成都,德阳,2014,56,0,104.430667514,31.1339756257
太原,忻州,2014,15,0,112.43027139,38.6914375116
长沙,怀化,2014,17,0,110.069225757,27.5427297621
深圳,惠州,2014,125,1,114.497757221,23.2450284889
北京,成都,2014,433,1,103.501067544,30.5086877776
上海,扬州,2014,47,1,119.471409838,32.7375896346
北京,承德,2014,55,1,117.551042014,41.340428396
南昌,抚州,2014,26,0,116.433348614,27.5092972994
北京,抚顺,2014,5,1,124.653898593,41.8327974774
北京,拉萨,2014,132,1,91.1028799309,30.0334521208
成都,攀枝花,2014,6,0,101.731413397,26.8061938317
郑州,新乡,2014,24,0,114.092211697,35.2670772631
杭州,新余,2014,68,0,114.851202951,27.8472307759
上海,无锡,2014,223,1,120.351629529,31.6615440474
北京,日照,2014,8,1,119.134088275,35.5841759127
北京,昆明,2014,57,1,102.875102299,25.3852977816
太原,晋中,2014,73,0,112.961855815,37.3279302446
太原,晋城,2014,12,0,112.705075962,35.6106981578
昆明,普洱,2014,9,0,100.718373036,23.1859171903
北京,景德镇,2014,4,1,117.269337981,29.3071248951
昆明,曲靖,2014,10,0,103.93895161,25.7013209994
太原,朔州,2014,4,0,112.731072685,39.4515425822
沈阳,本溪,2014,5,0,124.077613678,41.1907857988
南宁,来宾,2014,4,0,109.427327974,23.6420750123
上海,杭州,2014,415,1,119.484701009,29.9049798065
北京,松原,2014,4,1,124.475153872,44.8001982261
潍坊,枣庄,2014,12,0,117.310288282,35.0325600892
南宁,柳州,2014,28,0,109.379696501,24.9370611389
长沙,株洲,2014,25,0,113.519552948,27.1163929922
南宁,桂林,2014,21,0,110.511766561,25.3519452869
深圳,梅州,2014,6,1,116.07866931,24.2018151873
南宁,梧州,2014,14,0,110.97337166,23.2002931144
西安,榆林,2014,6,0,109.553991328,38.0379812098
兰州,武威,2014,15,0,103.051345519,38.1690833868
北京,武汉,2014,262,1,114.338092289,30.6256542221
贵阳,毕节,2014,8,0,105.210244633,27.0684334498
贵阳,毕节,2014,8,0,105.210244633,27.0684334498
长沙,永州,2014,12,0,111.769541227,25.6908733976
西安,汉中,2014,6,0,107.104140807,33.0889083557
北京,汕头,2014,4,1,116.555530272,23.330681385
深圳,汕尾,2014,4,1,115.532047982,23.015488473
广州,江门,2014,19,0,112.667787985,22.2980836353
合肥,池州,2014,39,0,117.366095049,30.2838388703
北京,沈阳,2014,163,1,123.136692183,42.093659482
北京,沧州,2014,23,1,116.752696412,38.2657656361
南宁,河池,2014,15,0,107.840098932,24.6445183862
深圳,河源,2014,17,1,114.957578127,24.041916141
厦门,泉州,2014,49,0,118.255654583,25.211170451
北京,泰安,2014,9,1,117.035710843,36.0009861365
上海,泰州,2014,34,1,120.05755184,32.295852384
成都,泸州,2014,19,0,105.462113801,28.5508654308
郑州,洛阳,2014,31,0,112.02422841,34.2862770095
北京,济南,2014,120,1,117.08325858,36.7325316169
济南,济宁,2014,28,0,116.67539172,35.3785473334
北京,海口,2014,62,1,110.425851879,19.8310955934
北京,淄博,2014,15,1,118.010500338,36.5914699701
合肥,淮北,2014,8,0,116.694557639,33.7492103836
合肥,淮南,2014,10,0,116.733045967,32.7568698018
南京,淮安,2014,32,0,118.961844937,33.3561516982
北京,深圳,2014,1106,1,113.981097454,22.6612174267
深圳,清远,2014,24,1,112.875910188,24.3114647761
上海,温州,2014,79,1,120.010122334,27.6625993395
西安,渭南,2014,27,0,109.856936314,34.9518234916
杭州,湖州,2014,189,0,119.871227322,30.74619674
长沙,湘潭,2014,13,0,112.530368577,27.7049103307
广州,湛江,2014,16,0,110.303801914,20.4640326399
合肥,滁州,2014,22,0,118.098885241,32.5449846607
济南,滨州,2014,9,0,117.864583632,37.575764401
厦门,漳州,2014,77,0,117.441200797,24.3831962252
北京,潍坊,2014,62,1,119.075691601,36.536594451
中山,潮州,2014,7,0,116.768450527,23.7984986229
郑州,濮阳,2014,4,0,115.186179744,35.818149697
北京,烟台,2014,60,1,120.805459739,37.2364773878
郑州,焦作,2014,15,0,113.117443123,35.1061306585
哈尔滨,牡丹江,2014,9,0,129.889484361,44.5926621777
南宁,玉林,2014,36,0,110.182564447,22.4428700016
昆明,玉溪,2014,4,0,102.678676868,24.2272276938
广州,珠海,2014,65,0,113.251442783,22.1619886251
长春,白城,2014,12,0,123.010020734,45.3426110899
北京,白山,2014,12,1,127.285610012,42.0676635125
兰州,白银,2014,21,0,105.025181453,36.2452049344
南宁,百色,2014,39,0,107.035772771,23.6614884391
长沙,益阳,2014,8,0,111.808649049,28.3334333691
上海,盐城,2014,81,1,120.175286224,33.5153555609
沈阳,盘锦,2014,17,0,121.99780925,41.082524232
成都,眉山,2014,36,0,103.641301199,30.0619304809
银川,石嘴山,2014,13,0,106.517788673,38.9755007252
北京,石家庄,2014,209,1,114.44284612,38.1289585008
北京,福州,2014,42,1,119.156889973,26.0641963059
北京,秦皇岛,2014,17,1,119.183889469,40.0884882838
杭州,绍兴,2014,187,0,120.628874142,29.7126723592
哈尔滨,绥化,2014,21,0,126.616087847,46.890019373
成都,绵阳,2014,50,0,104.705358137,31.8468625936
济南,聊城,2014,24,0,115.881984089,36.4580882571
广州,肇庆,2014,13,0,112.202555079,23.5397260823
成都,自贡,2014,5,0,104.961213664,29.2217954232
杭州,舟山,2014,32,0,122.13917249,30.0553941995
合肥,芜湖,2014,103,0,118.326617536,31.0667366723
上海,苏州,2014,513,1,120.64180324,31.3759706021
武汉,荆州,2014,36,0,112.655927602,29.8484798317
武汉,荆门,2014,22,0,112.609230363,31.0710770674
上海,莆田,2014,4,1,118.879674516,25.4571400714
北京,莱芜,2014,5,1,117.651838532,36.2867074983
北京,菏泽,2014,10,1,115.689680141,35.1533992642
深圳,萍乡,2014,21,1,113.900285648,27.5155162634
北京,营口,2014,35,1,122.487313407,40.3597557385
沈阳,葫芦岛,2014,4,0,120.192864003,40.6261741141
合肥,蚌埠,2014,18,0,117.327663746,33.1119871271
石家庄,衡水,2014,8,0,115.852176753,37.6362650134
长沙,衡阳,2014,28,0,112.573420211,26.7925301314
杭州,衢州,2014,31,0,118.677516799,28.9340789716
武汉,襄阳,2014,33,0,111.93766036,31.9344507749
北京,西宁,2014,7,1,101.451113542,36.8142937624
北京,西安,2014,114,1,108.789503511,34.1107819802
郑州,许昌,2014,16,0,113.709213472,34.0727649921
南宁,贵港,2014,17,0,109.998175606,23.3100315884
北京,贵阳,2014,41,1,106.707306335,26.8429934259
南宁,贺州,2014,8,0,111.360036634,24.3588162268
成都,资阳,2014,24,0,104.953340591,30.1802755486
深圳,赣州,2014,31,1,115.270276386,25.7067696556
呼和浩特,赤峰,2014,12,0,118.904959124,43.1947341885
长春,辽源,2014,4,0,125.304836751,42.8097338625
成都,达州,2014,20,0,107.64272373,31.3639402446
太原,运城,2014,28,0,111.086591024,35.1949340498
南京,连云港,2014,22,0,119.131887634,34.5329086065
长春,通化,2014,17,0,125.948225432,41.9508001253
呼和浩特,通辽,2014,9,0,121.577319554,43.8189888688
成都,遂宁,2014,20,0,105.470484465,30.6311127344
贵阳,遵义,2014,27,0,107.086352088,28.1676619107
石家庄,邢台,2014,32,0,114.819197893,37.2116829999
北京,邯郸,2014,40,1,114.54555308,36.5509236328
长沙,邵阳,2014,15,0,110.915650898,26.8726168321
北京,郑州,2014,194,1,113.471850802,34.6263627848
长沙,郴州,2014,26,0,113.134839925,25.8116998935
包头,鄂尔多斯,2014,17,0,108.618593771,39.4092533576
武汉,鄂州,2014,26,0,114.805508857,30.44902039
兰州,酒泉,2014,23,0,96.2255513305,40.4581809561
北京,重庆,2014,134,1,107.864385258,30.0553736852
杭州,金华,2014,61,0,119.954268808,29.1164535388
兰州,金昌,2014,5,0,102.050096504,38.4269271785
南宁,钦州,2014,15,0,109.024507902,22.1833012192
沈阳,铁岭,2014,11,0,124.172161855,42.6409023987
贵阳,铜仁,2014,13,0,108.544584764,27.9687206563
贵阳,铜仁,2014,13,0,108.544584764,27.9687206563
西安,铜川,2014,29,0,109.175338575,35.2981214087
安庆,铜陵,2014,12,0,117.89438707,30.9448598202
北京,银川,2014,50,1,106.341244948,38.2192835973
沈阳,锦州,2014,4,0,122.1276071,41.7056938843
上海,镇江,2014,59,1,119.481985492,32.0667749698
北京,长春,2014,64,1,125.766739888,44.3768728237
深圳,长沙,2014,102,1,113.152959363,28.2295131059
太原,长治,2014,30,0,112.916015096,36.4761566955
北京,阜新,2014,4,1,121.959474454,42.2856981048
合肥,阜阳,2014,38,0,115.701807911,32.9158627496
南宁,防城港,2014,33,0,108.002509665,21.8822387144
中山,阳江,2014,5,0,111.774204951,22.0383015818
北京,阳泉,2014,4,1,113.501902518,38.0619533743
乌海,阿拉善盟,2014,4,0,102.484793321,40.4997342418
兰州,陇南,2014,22,0,105.209135288,33.5938826196
武汉,随州,2014,7,0,113.424642017,31.829691489
成都,雅安,2014,4,0,102.661567069,29.9136424572
北京,青岛,2014,162,1,120.143935648,36.456032729
北京,鞍山,2014,13,1,123.311254248,40.4244897423
深圳,韶关,2014,8,1,113.772863358,24.8175018307
合肥,马鞍山,2014,21,0,118.613763467,31.5323778572
郑州,驻马店,2014,9,0,114.148797271,32.9243766426
哈尔滨,鸡西,2014,4,0,132.302426461,45.5431717643
郑州,鹤壁,2014,5,0,114.354192817,35.6449079221
哈尔滨,鹤岗,2014,4,0,130.31505392,47.7601194496
北京,鹰潭,2014,29,1,117.10685019,28.2253820103
武汉,黄冈,2014,67,0,115.34896726,30.7182656835
合肥,黄山,2014,4,0,118.077165369,29.9060894539
武汉,黄石,2014,87,0,115.022554449,29.9281364887
齐齐哈尔,黑河,2014,5,0,126.996351701,49.2530986124
哈尔滨,齐齐哈尔,2014,24,0,124.533878694,47.6967626516
厦门,龙岩,2014,12,0,116.739194013,25.2920661556
